,FRENCH,ENGLISH,THEME,IMPORTANT,ENGLISH_nopunct,ENGLISH_noswords,ENGLISH_stem,FRENCH_nopunct,FRENCH_noswords,FRENCH_stem
11092,l’ocde ( organisation de coopération et de développement économique),the organisation for economic co-operation and development (oecd),geopolitique et relations internationales,,the organisation for economic cooperation and development oecd,organisation economic cooperation development oecd,organisation economic cooperation development oecd,l’ocde  organisation de coopération et de développement économique,’ ocde organisation coopération développement économique,’ ocde organisation coopération développement économiqu
11093,l’onu,the un (united nations),geopolitique et relations internationales,,the un united nations,united nations,united n,l’onu,’,’
11094,l’otan ( organisation du traité de l’atlantique nord),nato (north atlantic treaty organization),geopolitique et relations internationales,,nato north atlantic treaty organization,nato north atlantic treaty organization,nato north atlantic treaty organ,l’otan  organisation du traité de l’atlantique nord,’ otan organisation traité ’ atlantique nord,’ otan organisation traité ’ atlantique nord
11095,l’unesco,"unesco ( united nations educational, social and cultural organization)",geopolitique et relations internationales,,unesco  united nations educational social and cultural organization,unesco united nations educational social cultural organization,unesco united nations educational social cultural organ,l’unesco,’ unesco,’ unesco
11096,l’unicef,unicef ( united nations children’s fund),geopolitique et relations internationales,,unicef  united nations children’s fund,unicef united nations children ’ fund,unicef united nations children ’ fund,l’unicef,’ unicef,’ unicef
11097,la banque centrale européenne ( bce),the european central bank ( ecb),geopolitique et relations internationales,,the european central bank  ecb,european central bank ecb,european central bank ecb,la banque centrale européenne  bce,banque centrale européenne bce,banque centrale européenne bc
11098,la banque mondiale,the world bank,geopolitique et relations internationales,,the world bank,world bank,world bank,la banque mondiale,banque mondiale,banque mondial
11099,la citoyenneté de l’union,union citizenship,geopolitique et relations internationales,,union citizenship,union citizenship,union citizenship,la citoyenneté de l’union,citoyenneté ’ union,citoyenneté ’ union
11100,la commission,the commission,geopolitique et relations internationales,,the commission,commission,commiss,la commission,commission,commiss
11101,la communauté,the community,geopolitique et relations internationales,,the community,community,commun,la communauté,communauté,communauté
11102,la communauté européenne,the european community,geopolitique et relations internationales,,the european community,european community,european commun,la communauté européenne,communauté européenne,communauté européenn
11103,la coopération,vso ( voluntary service overseas) / the peace corps (us),geopolitique et relations internationales,,vso  voluntary service overseas  the peace corps us,voluntary service overseas peace corps us,voluntary service overseas peace corps u,la coopération,coopération,coopérat
11104,la cour de justice européenne,the european court of justice,geopolitique et relations internationales,,the european court of justice,european court justice,european court justic,la cour de justice européenne,cour justice européenne,cour justice européenn
11105,la cour des comptes,the court of audits,geopolitique et relations internationales,,the court of audits,court audits,court audit,la cour des comptes,cour comptes,cour compt
11106,la démographie,demographics,geopolitique et relations internationales,,demographics,demographics,demograph,la démographie,démographie,démographi
11107,la désinformation,"disinformation/misinformation, à rapprocher des fake news",geopolitique et relations internationales,,disinformationmisinformation à rapprocher des fake news,disinformationmisinformation rapprocher fake news,disinformationmisinformation rapprocher fake new,la désinformation,désinformation,désinform
11108,la libre circulation,the free flow,geopolitique et relations internationales,,the free flow,free flow,free flow,la libre circulation,libre circulation,libre circul
11109,la mère patrie,the mother country,geopolitique et relations internationales,,the mother country,mother country,mother countri,la mère patrie,mère patrie,mère patri
11110,la mise sur écoutes téléphoniques,phone tapping,geopolitique et relations internationales,,phone tapping,phone tapping,phone tap,la mise sur écoutes téléphoniques,mise écoutes téléphoniques,mise écoutes téléphoniqu
11111,la monnaie unique,the single currency,geopolitique et relations internationales,,the single currency,single currency,single curr,la monnaie unique,monnaie unique,monnaie uniqu
11112,la monnaie unique européenne,the single european currency,geopolitique et relations internationales,,the single european currency,single european currency,single european curr,la monnaie unique européenne,monnaie unique européenne,monnaie unique européenn
11113,la nationalité,nationality,geopolitique et relations internationales,,nationality,nationality,nation,la nationalité,nationalité,nationalité
11114,la neutralité,neutrality,geopolitique et relations internationales,,neutrality,neutrality,neutral,la neutralité,neutralité,neutralité
11115,la patrie,the fatherland,geopolitique et relations internationales,,the fatherland,fatherland,fatherland,la patrie,patrie,patri
11116,la politique agricole commune,the common agricultural policy,geopolitique et relations internationales,,the common agricultural policy,common agricultural policy,common agricultural polici,la politique agricole commune,politique agricole commune,politique agricole commun
11117,la ratification,ratification,geopolitique et relations internationales,,ratification,ratification,ratif,la ratification,ratification,ratif
11118,la sécurité nationale,national security,geopolitique et relations internationales,,national security,national security,national secur,la sécurité nationale,sécurité nationale,sécurité national
11119,la souveraineté,sovereignty,geopolitique et relations internationales,,sovereignty,sovereignty,sovereignti,la souveraineté,souveraineté,souveraineté
11120,la surveillance,surveillance,geopolitique et relations internationales,,surveillance,surveillance,surveil,la surveillance,surveillance,surveil
11121,la traîtrise,treachery,geopolitique et relations internationales,,treachery,treachery,treacheri,la traîtrise,traîtrise,traîtris
11122,le conseil de sécurité,the security council,geopolitique et relations internationales,,the security council,security council,security council,le conseil de sécurité,conseil sécurité,conseil sécurité
11123,le conseil des ministres,the council of ministers,geopolitique et relations internationales,,the council of ministers,council ministers,council minist,le conseil des ministres,conseil ministres,conseil ministr
11124,le conseil européen,the european council,geopolitique et relations internationales,,the european council,european council,european council,le conseil européen,conseil européen,conseil européen
11125,le contre-espionnage,counter-espionage,geopolitique et relations internationales,,counterespionage,counterespionage,counterespionag,le contreespionnage,contreespionnage,contreespionnag
11126,le désarmement,disarmament,geopolitique et relations internationales,,disarmament,disarmament,disarma,le désarmement,désarmement,désarmement
11127,le dialogue nord-sud,north-south dialogue,geopolitique et relations internationales,,northsouth dialogue,northsouth dialogue,northsouth dialogu,le dialogue nordsud,dialogue nordsud,dialogue nordsud
11128,le fmi (fonds monétaire international),the international monetary fund (imf),geopolitique et relations internationales,,the international monetary fund imf,international monetary fund imf,international monetary fund imf,le fmi fonds monétaire international,fmi fonds monétaire international,fmi fonds monétaire intern
11129,le fonds monétaire international,the international monetary fund,geopolitique et relations internationales,,the international monetary fund,international monetary fund,international monetary fund,le fonds monétaire international,fonds monétaire international,fonds monétaire intern
11130,le maintien de la paix,peacekeeping,geopolitique et relations internationales,,peacekeeping,peacekeeping,peacekeep,le maintien de la paix,maintien paix,maintien paix
11131,le marché unique européen,the single european market,geopolitique et relations internationales,,the single european market,single european market,single european market,le marché unique européen,marché unique européen,marché unique européen
11132,le ministre des affaires étrangères,the foreign secretary (gb) / the secretary of state (us),geopolitique et relations internationales,,the foreign secretary gb  the secretary of state us,foreign secretary gb secretary state us,foreign secretary gb secretary state u,le ministre des affaires étrangères,ministre affaires étrangères,ministre affaires étrangèr
11133,le parlement européen,the european parliament,geopolitique et relations internationales,,the european parliament,european parliament,european parlia,le parlement européen,parlement européen,parlement européen
11134,le prix nobel de la paix,the nobel peace prize,geopolitique et relations internationales,,the nobel peace prize,nobel peace prize,nobel peace pr,le prix nobel de la paix,prix nobel paix,prix nobel paix
11135,le secret,secrecy,geopolitique et relations internationales,,secrecy,secrecy,secreci,le secret,secret,secret
11136,le secrétaire général,the secretary general,geopolitique et relations internationales,,the secretary general,secretary general,secretary gener,le secrétaire général,secrétaire général,secrétaire génér
11137,le service diplomatique,the diplomatic service,geopolitique et relations internationales,,the diplomatic service,diplomatic service,diplomatic servic,le service diplomatique,service diplomatique,service diplomatiqu
11138,le système monétaire européen,the european monetary system,geopolitique et relations internationales,,the european monetary system,european monetary system,european monetary system,le système monétaire européen,système monétaire européen,système monétaire européen
11139,le tiers-monde,the third world,geopolitique et relations internationales,,the third world,third world,third world,le tiersmonde,tiersmonde,tiersmond
11140,le traité de rome,the treaty of rome,geopolitique et relations internationales,,the treaty of rome,treaty rome,treaty rom,le traité de rome,traité rome,traité rom
11141,les affaires étrangères,foreign affairs,geopolitique et relations internationales,,foreign affairs,foreign affairs,foreign affair,les affaires étrangères,affaires étrangères,affaires étrangèr
11142,les barrières commerciales,trade barriers,geopolitique et relations internationales,,trade barriers,trade barriers,trade barri,les barrières commerciales,barrières commerciales,barrières commercial
11143,les barrières douanières,customs barriers,geopolitique et relations internationales,,customs barriers,customs barriers,customs barri,les barrières douanières,barrières douanières,barrières douanièr
11144,les états membres,member states,geopolitique et relations internationales,,member states,member states,member st,les états membres,états membres,états membr
11145,les pays émergents,emerging countries,geopolitique et relations internationales,,emerging countries,emerging countries,emerging countri,les pays émergents,pays émergents,pays émerg
11146,les pays en voie de développement,developing countries,geopolitique et relations internationales,,developing countries,developing countries,developing countri,les pays en voie de développement,pays voie développement,pays voie développ
11147,les pays les moins avancés,less developed countries,geopolitique et relations internationales,,less developed countries,less developed countries,less developed countri,les pays les moins avancés,pays moins avancés,pays moins avancé
11148,les pays membres,member countries,geopolitique et relations internationales,,member countries,member countries,member countri,les pays membres,pays membres,pays membr
11149,les pays sous-développés,underdeveloped countries,geopolitique et relations internationales,,underdeveloped countries,underdeveloped countries,underdeveloped countri,les pays sousdéveloppés,pays sousdéveloppés,pays sousdéveloppé
11150,les pourparlers,talks,geopolitique et relations internationales,,talks,talks,talk,les pourparlers,pourparlers,pourparl
11151,les puissances occidentales,the western powers,geopolitique et relations internationales,,the western powers,western powers,western pow,les puissances occidentales,puissances occidentales,puissances occidental
11152,les règlements communautaires,community regulations • ec regulations,geopolitique et relations internationales,,community regulations • ec regulations,community regulations • ec regulations,community regulations • ec regul,les règlements communautaires,règlements communautaires,règlements communautair
11153,les relations diplomatiques,"diplomatic relations, diplomatic ties",geopolitique et relations internationales,,diplomatic relations diplomatic ties,diplomatic relations diplomatic ties,diplomatic relations diplomatic ti,les relations diplomatiques,relations diplomatiques,relations diplomatiqu
11154,les relations extérieures,foreign relations,geopolitique et relations internationales,,foreign relations,foreign relations,foreign rel,les relations extérieures,relations extérieures,relations extérieur
11155,les relations internationales,international relations,geopolitique et relations internationales,,international relations,international relations,international rel,les relations internationales,relations internationales,relations international
11156,"les secours, l’aide",relief,geopolitique et relations internationales,,relief,relief,relief,les secours l’aide,secours ’ aide,secours ’ aid
11157,les services de contre-espionnage,counterespionage services,geopolitique et relations internationales,,counterespionage services,counterespionage services,counterespionage servic,les services de contreespionnage,services contreespionnage,services contreespionnag
11158,les services de renseignement,intelligence service,geopolitique et relations internationales,,intelligence service,intelligence service,intelligence servic,les services de renseignement,services renseignement,services renseign
11159,les services secrets,the secret service,geopolitique et relations internationales,,the secret service,secret service,secret servic,les services secrets,services secrets,services secret
11160,national,national,geopolitique et relations internationales,,national,national,nation,national,national,nation
11161,négociations,negotiation,geopolitique et relations internationales,,negotiation,negotiation,negoti,négociations,négociations,négociat
11162,non-aligné,non-aligned,geopolitique et relations internationales,,nonaligned,nonaligned,nonalign,nonaligné,nonaligné,nonaligné
11163,outre-mer,overseas,geopolitique et relations internationales,,overseas,overseas,oversea,outremer,outremer,outrem
11164,réciproque,reciprocal,geopolitique et relations internationales,,reciprocal,reciprocal,reciproc,réciproque,réciproque,réciproqu
11165,souverain,sovereign,geopolitique et relations internationales,,sovereign,sovereign,sovereign,souverain,souverain,souverain
11166,ultra-secret,top-secret,geopolitique et relations internationales,,topsecret,topsecret,topsecret,ultrasecret,ultrasecret,ultrasecret
11167,un accord,"an agreement, a settlement",geopolitique et relations internationales,,an agreement a settlement,agreement settlement,agreement settl,un accord,accord,accord
11168,un accord bilatéral,bilateral agreement,geopolitique et relations internationales,,bilateral agreement,bilateral agreement,bilateral agr,un accord bilatéral,accord bilatéral,accord bilatér
11169,un activiste,an activist,geopolitique et relations internationales,,an activist,activist,activist,un activiste,activiste,activist
11170,un agent,an agent,geopolitique et relations internationales,,an agent,agent,agent,un agent,agent,agent
11171,un agent double,a double agent,geopolitique et relations internationales,,a double agent,double agent,double ag,un agent double,agent double,agent doubl
11172,un agent secret,a secret agent,geopolitique et relations internationales,,a secret agent,secret agent,secret ag,un agent secret,agent secret,agent secret
11173,un allié,an ally,geopolitique et relations internationales,,an ally,ally,alli,un allié,allié,allié
11174,un ambassadeur,an ambassador,geopolitique et relations internationales,,an ambassador,ambassador,ambassador,un ambassadeur,ambassadeur,ambassadeur
11175,un cessez-le-feu,a ceasefire,geopolitique et relations internationales,,a ceasefire,ceasefire,ceasefir,un cessezlefeu,cessezlefeu,cessezlefeu
11176,un chef d’état,a head of state,geopolitique et relations internationales,,a head of state,head state,head stat,un chef d’état,chef ’ état,chef ’ état
11177,un compromis,a compromise,geopolitique et relations internationales,,a compromise,compromise,compromis,un compromis,compromis,compromi
11178,un consul,a consul,geopolitique et relations internationales,,a consul,consul,consul,un consul,consul,consul
11179,un consulat,a consulate,geopolitique et relations internationales,,a consulate,consulate,consul,un consulat,consulat,consulat
11180,un député européen,a member of the european parliament • a euro mp,geopolitique et relations internationales,,a member of the european parliament • a euro mp,member european parliament • euro mp,member european parliament • euro mp,un député européen,député européen,député européen
11181,un désaccord,a disagreement,geopolitique et relations internationales,,a disagreement,disagreement,disagr,un désaccord,désaccord,désaccord
11182,un drapeau,a flag,geopolitique et relations internationales,,a flag,flag,flag,un drapeau,drapeau,drapeau
11183,un émissaire,an emissary,geopolitique et relations internationales,,an emissary,emissary,emissari,un émissaire,émissaire,émissair
11184,un envoyé,an envoy,geopolitique et relations internationales,,an envoy,envoy,envoy,un envoyé,envoyé,envoyé
11185,un état,one state,geopolitique et relations internationales,,one state,state,state,un état,état,état
11186,un état souverain,a sovereign state,geopolitique et relations internationales,,a sovereign state,sovereign state,sovereign st,un état souverain,état souverain,état souverain
11187,un incident diplomatique,a diplomatic incident,geopolitique et relations internationales,,a diplomatic incident,diplomatic incident,diplomatic incid,un incident diplomatique,incident diplomatique,incident diplomatiqu
11188,un mémorandum,"a memorandum (plural. memorandums, memoranda)",geopolitique et relations internationales,,a memorandum plural memorandums memoranda,memorandum plural memorandums memoranda,memorandum plural memorandums memoranda,un mémorandum,mémorandum,mémorandum
11189,un micro caché,"a hidden microphone, a bug",geopolitique et relations internationales,,a hidden microphone a bug,hidden microphone bug,hidden microphone bug,un micro caché,micro caché,micro caché
11190,un négociateur,a negotiator,geopolitique et relations internationales,,a negotiator,negotiator,negoti,un négociateur,négociateur,négociateur
11191,un pacte,a pact,geopolitique et relations internationales,,a pact,pact,pact,un pacte,pacte,pact
11192,un pacte de non-agression,non-agression pact,geopolitique et relations internationales,,nonagression pact,nonagression pact,nonagression pact,un pacte de nonagression,pacte nonagression,pacte nonagress
11193,un processus de paix,a peace process,geopolitique et relations internationales,,a peace process,peace process,peace process,un processus de paix,processus paix,processus paix
11194,un représentant,a representative,geopolitique et relations internationales,,a representative,representative,repres,un représentant,représentant,représent
11195,un service de renseignement,"an intelligence service, a secret agency",geopolitique et relations internationales,,an intelligence service a secret agency,intelligence service secret agency,intelligence service secret ag,un service de renseignement,service renseignement,service renseign
11196,un sommet,a summit,geopolitique et relations internationales,,a summit,summit,summit,un sommet,sommet,sommet
11197,un territoire,a territory,geopolitique et relations internationales,,a territory,territory,territori,un territoire,territoire,territoir
11198,un traité,a treaty,geopolitique et relations internationales,,a treaty,treaty,treati,un traité,traité,traité
11199,un traître,a traitor,geopolitique et relations internationales,,a traitor,traitor,traitor,un traître,traître,traîtr
11200,un transfuge,a defector,geopolitique et relations internationales,,a defector,defector,defector,un transfuge,transfuge,transfug
11201,un ultimatum,"an ultimatum (plural. ultimatums, ultimata)",geopolitique et relations internationales,,an ultimatum plural ultimatums ultimata,ultimatum plural ultimatums ultimata,ultimatum plural ultimatums ultimata,un ultimatum,ultimatum,ultimatum
11202,un veto,a veto,geopolitique et relations internationales,,a veto,veto,veto,un veto,veto,veto
11203,un vice-consul,a vice-consul,geopolitique et relations internationales,,a viceconsul,viceconsul,viceconsul,un viceconsul,viceconsul,viceconsul
11204,une agence internationale,an international agency,geopolitique et relations internationales,,an international agency,international agency,international ag,une agence internationale,agence internationale,agence international
11205,une ambassade,an embassy,geopolitique et relations internationales,,an embassy,embassy,embassi,une ambassade,ambassade,ambassad
11206,une candidature,an application,geopolitique et relations internationales,,an application,application,applic,une candidature,candidature,candidatur
11207,une chute de la natalité,a falling birth rate,geopolitique et relations internationales,,a falling birth rate,falling birth rate,falling birth r,une chute de la natalité,chute natalité,chute natalité
11208,une conférence au sommet,a summit conference,geopolitique et relations internationales,,a summit conference,summit conference,summit confer,une conférence au sommet,conférence sommet,conférence sommet
11209,une épreuve de force,a test of strength,geopolitique et relations internationales,,a test of strength,test strength,test strength,une épreuve de force,épreuve force,épreuve forc
11210,une feuille de route,a roadmap,geopolitique et relations internationales,,a roadmap,roadmap,roadmap,une feuille de route,feuille route,feuille rout
11211,une impasse,"a deadlock, an impasse",geopolitique et relations internationales,,a deadlock an impasse,deadlock impasse,deadlock impass,une impasse,impasse,impass
11212,une légation,a legation,geopolitique et relations internationales,,a legation,legation,legat,une légation,légation,légation
11213,une mission commerciale,a trade mission,geopolitique et relations internationales,,a trade mission,trade mission,trade miss,une mission commerciale,mission commerciale,mission commercial
11214,une nation,one nation,geopolitique et relations internationales,,one nation,nation,nation,une nation,nation,nation
11215,une organisation de secours,a relief organization,geopolitique et relations internationales,,a relief organization,relief organization,relief organ,une organisation de secours,organisation secours,organisation secour
11216,une organisation non gouvernementale,a non-governmental organization,geopolitique et relations internationales,,a nongovernmental organization,nongovernmental organization,nongovernmental organ,une organisation non gouvernementale,organisation gouvernementale,organisation gouvernemental
11217,une puissance,a power,geopolitique et relations internationales,,a power,power,power,une puissance,puissance,puissanc
11218,une région d’outre-mer,an overseas region,geopolitique et relations internationales,,an overseas region,overseas region,overseas region,une région d’outremer,région ’ outremer,région ’ outrem
11219,une résolution de l’onu,a un resolution,geopolitique et relations internationales,,a un resolution,resolution,resolut,une résolution de l’onu,résolution ’,résolution ’
11220,une situation d’urgence,an emergency,geopolitique et relations internationales,,an emergency,emergency,emerg,une situation d’urgence,situation ’ urgence,situation ’ urg
11221,une table ronde,a round table,geopolitique et relations internationales,,a round table,round table,round tabl,une table ronde,table ronde,table rond
11222,unilatéral,unilateral,geopolitique et relations internationales,,unilateral,unilateral,unilater,unilatéral,unilatéral,unilatér
11223,adresser un ultimatum à,"to deliver, to issue an ultimatum to",geopolitique et relations internationales,,to deliver to issue an ultimatum to,deliver issue ultimatum,deliver issue ultimatum,adresser un ultimatum à,adresser ultimatum,adresser ultimatum
11224,cacher un micro dans la chambre de quelqu’un,to bug someone’s room,geopolitique et relations internationales,,to bug someone’s room,bug someone ’ room,bug someone ’ room,cacher un micro dans la chambre de quelqu’un,cacher micro chambre quelqu ’,cacher micro chambre quelqu ’
11225,convoquer,to convene,geopolitique et relations internationales,,to convene,convene,conven,convoquer,convoquer,convoqu
11226,coopérer,to cooperate,geopolitique et relations internationales,,to cooperate,cooperate,cooper,coopérer,coopérer,coopérer
11227,demander l’asile politique,to seek (political) asylum,geopolitique et relations internationales,,to seek political asylum,seek political asylum,seek political asylum,demander l’asile politique,demander ’ asile politique,demander ’ asile politiqu
11228,devenir membre de la c. e.,to join the ec,geopolitique et relations internationales,,to join the ec,join ec,join ec,devenir membre de la c e,devenir membre,devenir membr
11229,divulguer des secrets à,to pass secrets to,geopolitique et relations internationales,,to pass secrets to,pass secrets,pass secret,divulguer des secrets à,divulguer secrets,divulguer secret
11230,envoyer une aide d’urgence,to send emergency aid,geopolitique et relations internationales,,to send emergency aid,send emergency aid,send emergency aid,envoyer une aide d’urgence,envoyer aide ’ urgence,envoyer aide ’ urg
11231,espionner quelqu’un,to spy on someone,geopolitique et relations internationales,,to spy on someone,spy someone,spy someon,espionner quelqu’un,espionner quelqu ’,espionner quelqu ’
11232,être accrédité auprès de,to be accredited to,geopolitique et relations internationales,,to be accredited to,accredited,accredit,être accrédité auprès de,être accrédité auprès,être accrédité auprè
11233,faire respecter,to uphold,geopolitique et relations internationales,,to uphold,uphold,uphold,faire respecter,faire respecter,faire respect
11234,intervenir,to intervene,geopolitique et relations internationales,,to intervene,intervene,interven,intervenir,intervenir,intervenir
11235,mettre le téléphone de quelqu’un sur table d’écoute,to bug someone’s phone,geopolitique et relations internationales,,to bug someone’s phone,bug someone ’ phone,bug someone ’ phon,mettre le téléphone de quelqu’un sur table d’écoute,mettre téléphone quelqu ’ table ’ écoute,mettre téléphone quelqu ’ table ’ écout
11236,mettre son veto à,to veto,geopolitique et relations internationales,,to veto,veto,veto,mettre son veto à,mettre veto,mettre veto
11237,mettre un embargo sur,to put an embargo on,geopolitique et relations internationales,,to put an embargo on,put embargo,put embargo,mettre un embargo sur,mettre embargo,mettre embargo
11238,passer à l’ennemi,to defect,geopolitique et relations internationales,,to defect,defect,defect,passer à l’ennemi,passer ’ ennemi,passer ’ ennemi
11239,poser un micro,to plant a microphone,geopolitique et relations internationales,,to plant a microphone,plant microphone,plant microphon,poser un micro,poser micro,poser micro
11240,rappeler un ambassadeur,to recall an ambassador,geopolitique et relations internationales,,to recall an ambassador,recall ambassador,recall ambassador,rappeler un ambassadeur,rappeler ambassadeur,rappeler ambassadeur
11241,"ratifier, entériner",to ratify,geopolitique et relations internationales,,to ratify,ratify,ratifi,ratifier entériner,ratifier entériner,ratifier entérin
11242,représenter,to represent,geopolitique et relations internationales,,to represent,represent,repres,représenter,représenter,représent
11243,rompre les relations diplomatiques,to break off diplomatic relations,geopolitique et relations internationales,,to break off diplomatic relations,break diplomatic relations,break diplomatic rel,rompre les relations diplomatiques,rompre relations diplomatiques,rompre relations diplomatiqu
11244,stipuler quelque chose /que,to stipulate something/that,geopolitique et relations internationales,,to stipulate somethingthat,stipulate somethingthat,stipulate somethingthat,stipuler quelque chose que,stipuler quelque chose,stipuler quelque chos
11245,trahir son pays,to betray one’s country,geopolitique et relations internationales,,to betray one’s country,betray ’ country,betray ’ countri,trahir son pays,trahir pays,trahir pay
11246,qualités,qualities,geopolitique et relations internationales,,qualities,qualities,qualiti,qualités,qualités,qualité
11247,adroit,skilful,vocabulaire personnalite qualites et defauts,,skilful,skilful,skil,adroit,adroit,adroit
11248,aimant,loving,vocabulaire personnalite qualites et defauts,,loving,loving,love,aimant,aimant,aimant
11249,ambitieux,ambitious,vocabulaire personnalite qualites et defauts,,ambitious,ambitious,ambiti,ambitieux,ambitieux,ambitieux
11250,anxieux,anxious,vocabulaire personnalite qualites et defauts,,anxious,anxious,anxiou,anxieux,anxieux,anxieux
11251,"appliqué, assidu",painstaking,vocabulaire personnalite qualites et defauts,,painstaking,painstaking,painstak,appliqué assidu,appliqué assidu,appliqué assidu
11252,arrogant,arrogant,vocabulaire personnalite qualites et defauts,,arrogant,arrogant,arrog,arrogant,arrogant,arrog
11253,auto-discipliné,self-disciplined,vocabulaire personnalite qualites et defauts,,selfdisciplined,selfdisciplined,selfdisciplin,autodiscipliné,autodiscipliné,autodiscipliné
11254,autoritaire,"authoritative, bossy",vocabulaire personnalite qualites et defauts,,authoritative bossy,authoritative bossy,authoritative bossi,autoritaire,autoritaire,autoritair
11255,aventureux,adventurous,vocabulaire personnalite qualites et defauts,,adventurous,adventurous,adventur,aventureux,aventureux,aventureux
11256,bavard,talkative,vocabulaire personnalite qualites et defauts,,talkative,talkative,talk,bavard,bavard,bavard
11257,brutal,brutal,vocabulaire personnalite qualites et defauts,,brutal,brutal,brutal,brutal,brutal,brutal
11258,chaleureux,warm-hearted,vocabulaire personnalite qualites et defauts,,warmhearted,warmhearted,warmheart,chaleureux,chaleureux,chaleureux
11259,charitable,charitable,vocabulaire personnalite qualites et defauts,,charitable,charitable,charit,charitable,charitable,charit
11260,compréhensif,understanding,vocabulaire personnalite qualites et defauts,,understanding,understanding,understand,compréhensif,compréhensif,compréhensif
11261,consciencieux,conscientious,vocabulaire personnalite qualites et defauts,,conscientious,conscientious,conscienti,consciencieux,consciencieux,consciencieux
11262,content de soi,complacent,vocabulaire personnalite qualites et defauts,,complacent,complacent,complac,content de soi,content soi,content soi
11263,coquin,naughty,vocabulaire personnalite qualites et defauts,,naughty,naughty,naughti,coquin,coquin,coquin
11264,courtois,courteous,vocabulaire personnalite qualites et defauts,,courteous,courteous,courteou,courtois,courtois,courtoi
11265,cruel,cruel,vocabulaire personnalite qualites et defauts,,cruel,cruel,cruel,cruel,cruel,cruel
11266,de bonne humeur,"cheerful, good-tempered",vocabulaire personnalite qualites et defauts,,cheerful goodtempered,cheerful goodtempered,cheerful goodtemp,de bonne humeur,bonne humeur,bonne humeur
11267,de mauvaise humeur,bad-tempered,vocabulaire personnalite qualites et defauts,,badtempered,badtempered,badtemp,de mauvaise humeur,mauvaise humeur,mauvaise humeur
11268,de soutien,supportive,vocabulaire personnalite qualites et defauts,,supportive,supportive,support,de soutien,soutien,soutien
11269,défauts,"shortcomings, faults",vocabulaire personnalite qualites et defauts,,shortcomings faults,shortcomings faults,shortcomings fault,défauts,défauts,défaut
11270,délicat,tactful,vocabulaire personnalite qualites et defauts,,tactful,tactful,tact,délicat,délicat,délicat
11271,désobéissant,disobedient,vocabulaire personnalite qualites et defauts,,disobedient,disobedient,disobedi,désobéissant,désobéissant,désobéiss
11272,désordonné,messy,vocabulaire personnalite qualites et defauts,,messy,messy,messi,désordonné,désordonné,désordonné
11273,digne de confiance,trustworthy,vocabulaire personnalite qualites et defauts,,trustworthy,trustworthy,trustworthi,digne de confiance,digne confiance,digne confi
11274,distraits,distracted,vocabulaire personnalite qualites et defauts,,distracted,distracted,distract,distraits,distraits,distrait
11275,"dur, cruel",heartless,vocabulaire personnalite qualites et defauts,,heartless,heartless,heartless,dur cruel,dur cruel,dur cruel
11276,effrayé,scared,vocabulaire personnalite qualites et defauts,,scared,scared,scare,effrayé,effrayé,effrayé
11277,effronté,cheeky,vocabulaire personnalite qualites et defauts,,cheeky,cheeky,cheeki,effronté,effronté,effronté
11278,émotif,emotional,vocabulaire personnalite qualites et defauts,,emotional,emotional,emot,émotif,émotif,émotif
11279,envieux,envious,vocabulaire personnalite qualites et defauts,,envious,envious,enviou,envieux,envieux,envieux
11280,étourdi,absent-minded,vocabulaire personnalite qualites et defauts,,absentminded,absentminded,absentmind,étourdi,étourdi,étourdi
11281,expérimenté,experienced,vocabulaire personnalite qualites et defauts,,experienced,experienced,experienc,expérimenté,expérimenté,expérimenté
11282,facile à vivre,easygoing,vocabulaire personnalite qualites et defauts,,easygoing,easygoing,easygo,facile à vivre,facile vivre,facile vivr
11283,fidèle,"loyal, faithful",vocabulaire personnalite qualites et defauts,,loyal faithful,loyal faithful,loyal faith,fidèle,fidèle,fidèl
11284,fier,proud,vocabulaire personnalite qualites et defauts,,proud,proud,proud,fier,fier,fier
11285,fou,crazy,vocabulaire personnalite qualites et defauts,,crazy,crazy,crazi,fou,fou,fou
11286,franc,frank,vocabulaire personnalite qualites et defauts,,frank,frank,frank,franc,franc,franc
11287,"généreux, généreuse",generous,vocabulaire personnalite qualites et defauts,,generous,generous,gener,généreux généreuse,généreux généreuse,généreux généreus
11288,gourmand,greedy,vocabulaire personnalite qualites et defauts,,greedy,greedy,greedi,gourmand,gourmand,gourmand
11289,grossier,rude,vocabulaire personnalite qualites et defauts,,rude,rude,rude,grossier,grossier,grossier
11290,hautain,haughty,vocabulaire personnalite qualites et defauts,,haughty,haughty,haughti,hautain,hautain,hautain
11291,hostile,unfriendly,vocabulaire personnalite qualites et defauts,,unfriendly,unfriendly,unfriendli,hostile,hostile,hostil
11292,humble,humble,vocabulaire personnalite qualites et defauts,,humble,humble,humbl,humble,humble,humbl
11293,humoristique,humorous,vocabulaire personnalite qualites et defauts,,humorous,humorous,humor,humoristique,humoristique,humoristiqu
11294,hypocrite,hypocritical,vocabulaire personnalite qualites et defauts,,hypocritical,hypocritical,hypocrit,hypocrite,hypocrite,hypocrit
11295,ia fierté,pride,vocabulaire personnalite qualites et defauts,,pride,pride,pride,ia fierté,fierté,fierté
11296,idiot,silly,vocabulaire personnalite qualites et defauts,,silly,silly,silli,idiot,idiot,idiot
11297,impartial,impartial,vocabulaire personnalite qualites et defauts,,impartial,impartial,imparti,impartial,impartial,imparti
11298,impatient,impatient,vocabulaire personnalite qualites et defauts,,impatient,impatient,impati,impatient,impatient,impati
