ID,FRENCH,ENGLISH,THEME,IMPORTANT
7149,adroit,skilful,vocabulaire personnalite qualites et defauts,
7150,ambitieux,ambitious,vocabulaire personnalite qualites et defauts,
7151,anxieux,anxious,vocabulaire personnalite qualites et defauts,
7152,appliqué/ assidu,painstaking,vocabulaire personnalite qualites et defauts,
7153,arrogant,arrogant,vocabulaire personnalite qualites et defauts,
7154,auto-discipliné,self-disciplined,vocabulaire personnalite qualites et defauts,
7155,autoritaire,authoritative/ bossy,vocabulaire personnalite qualites et defauts,
7156,chaleureux,warm-hearted,vocabulaire personnalite qualites et defauts,
7157,charitable,charitable,vocabulaire personnalite qualites et defauts,
7158,compréhensif,understanding,vocabulaire personnalite qualites et defauts,
7159,consciencieux,conscientious,vocabulaire personnalite qualites et defauts,
7160,content de soi,complacent,vocabulaire personnalite qualites et defauts,
7161,coquin,naughty,vocabulaire personnalite qualites et defauts,
7162,courtois,courteous,vocabulaire personnalite qualites et defauts,
7163,cruel,cruel,vocabulaire personnalite qualites et defauts,
7164,de bonne humeur,cheerful/ good-tempered,vocabulaire personnalite qualites et defauts,
7165,de mauvaise humeur,bad-tempered,vocabulaire personnalite qualites et defauts,
7166,désobéissant,disobedient,vocabulaire personnalite qualites et defauts,
7167,désordonné,messy,vocabulaire personnalite qualites et defauts,
7168,digne de confiance,trustworthy,vocabulaire personnalite qualites et defauts,
7169,distraits,distracted,vocabulaire personnalite qualites et defauts,
7170,dur/ cruel,heartless,vocabulaire personnalite qualites et defauts,
7171,effronté,cheeky,vocabulaire personnalite qualites et defauts,
7172,émotif,emotional,vocabulaire personnalite qualites et defauts,
7173,envieux,envious,vocabulaire personnalite qualites et defauts,
7174,étourdi,absent-minded,vocabulaire personnalite qualites et defauts,
7175,expérimenté,experienced,vocabulaire personnalite qualites et defauts,
7176,facile à vivre,easygoing,vocabulaire personnalite qualites et defauts,
7177,fidèle,loyal/ faithful,vocabulaire personnalite qualites et defauts,
7178,fier,proud,vocabulaire personnalite qualites et defauts,
7179,gourmand,greedy,vocabulaire personnalite qualites et defauts,
7180,grossier,rude,vocabulaire personnalite qualites et defauts,
7181,hautain,haughty,vocabulaire personnalite qualites et defauts,
7182,hostile,unfriendly,vocabulaire personnalite qualites et defauts,
7183,humble,humble,vocabulaire personnalite qualites et defauts,
7184,humoristique,humorous,vocabulaire personnalite qualites et defauts,
7185,hypocrite,hypocritical,vocabulaire personnalite qualites et defauts,
7186,ia fierté,pride,vocabulaire personnalite qualites et defauts,
7187,impartial,impartial,vocabulaire personnalite qualites et defauts,
7188,impatient,impatient,vocabulaire personnalite qualites et defauts,
7189,impoli,impolite,vocabulaire personnalite qualites et defauts,
7190,insouciant,careless,vocabulaire personnalite qualites et defauts,
7191,intrépide/ effronté,bold,vocabulaire personnalite qualites et defauts,
7192,intuitif,intuitive,vocabulaire personnalite qualites et defauts,
7193,juste,fair-minded,vocabulaire personnalite qualites et defauts,
7194,l’ambition,ambition,vocabulaire personnalite qualites et defauts,
7195,l’avidité,greed,vocabulaire personnalite qualites et defauts,
7196,l’envie,envy,vocabulaire personnalite qualites et defauts,
7197,l’expérience,experience,vocabulaire personnalite qualites et defauts,
7198,l’honnêteté,honesty,vocabulaire personnalite qualites et defauts,
7199,l’humilité,humility,vocabulaire personnalite qualites et defauts,
7200,l’hypocrisie,hypocrisy,vocabulaire personnalite qualites et defauts,
7201,la cruauté,cruelty,vocabulaire personnalite qualites et defauts,
7202,la générosité,generosity,vocabulaire personnalite qualites et defauts,
7203,la lâcheté,cowardice,vocabulaire personnalite qualites et defauts,
7204,la maladresse,clumsiness,vocabulaire personnalite qualites et defauts,
7205,la méchanceté,malice,vocabulaire personnalite qualites et defauts,
7206,la patience,patience,vocabulaire personnalite qualites et defauts,
7207,la ponctualité,punctuality,vocabulaire personnalite qualites et defauts,
7208,la prudence,cautiousness,vocabulaire personnalite qualites et defauts,
7209,la ténacité,tenacity,vocabulaire personnalite qualites et defauts,
7210,la timidité,shyness,vocabulaire personnalite qualites et defauts,
7211,le courage,courage,vocabulaire personnalite qualites et defauts,
7212,le mépris,contempt,vocabulaire personnalite qualites et defauts,
7213,malfaisant,harmful,vocabulaire personnalite qualites et defauts,
7214,méprisant,contemptuous,vocabulaire personnalite qualites et defauts,
7215,modeste,modest,vocabulaire personnalite qualites et defauts,
7216,obéissant,obedient,vocabulaire personnalite qualites et defauts,
7217,placide,placid,vocabulaire personnalite qualites et defauts,
7218,polyvalent,versatile,vocabulaire personnalite qualites et defauts,
7219,réfléchi,thoughtful,vocabulaire personnalite qualites et defauts,
7220,rusé/ sournois,sly,vocabulaire personnalite qualites et defauts,
7221,sage,wise,vocabulaire personnalite qualites et defauts,
7222,signifier,mean,vocabulaire personnalite qualites et defauts,
7223,soigné,neat,vocabulaire personnalite qualites et defauts,
7224,sur de soi,confident,vocabulaire personnalite qualites et defauts,
7225,susceptible,touchy,vocabulaire personnalite qualites et defauts,
7226,tenace,tenacious,vocabulaire personnalite qualites et defauts,
7227,turbulent/ tapageur,boisterous,vocabulaire personnalite qualites et defauts,
7228,vaniteux,vain,vocabulaire personnalite qualites et defauts,
7229,alzheimer,alzheimer,vocabulaire personnalite qualites et defauts,
7230,cancer du poumon,lung cancer,les maladies,
7231,cancéreux,cancerous,les maladies,
7232,contagieux,contagious,les maladies,
7233,de l’eczéma,eczema,les maladies,
7234,de l’herpès,herpes,les maladies,
7235,déboîtement du genou,knee dislocation,les maladies,
7236,dément,demented,les maladies,
7237,des démangeaisons,itchy,les maladies,
7238,des rhumatismes,rheumatism,les maladies,
7239,infecté,infected,les maladies,
7240,l’asthme,asthma,les maladies,
7241,l’autisme,autism,les maladies,
7242,l’épilepsie,epilepsy,les maladies,
7243,l’hypertension,hypertension,les maladies,
7244,la constipation,constipation,les maladies,
7245,la coqueluche,whooping cough,les maladies,
7246,la démence,dementia,les maladies,
7247,la diarrhée,diarrhea,les maladies,
7248,la dysenterie,dysentery,les maladies,
7249,la fièvre,fever,les maladies,
7250,la fièvre jaune,yellow fever,les maladies,
7251,la grippe,the flu,les maladies,
7252,la jaunisse,jaundice,les maladies,
7253,la lèpre,leprosy,les maladies,
7254,la migraine,migraine,les maladies,
7255,la nausée,nausea,les maladies,
7256,la paralysie,paralysis,les maladies,
7257,la rougeole,measles,les maladies,
7258,la rubéole,rubella,les maladies,
7259,la scarlatine,scarlet fever,les maladies,
7260,la schizophrénie,schizophrenia,les maladies,
7261,la toux,coughing,les maladies,
7262,la trisomie 21,down’s syndrome,les maladies,
7263,la tuberculose,tuberculosis,les maladies,
7264,la typhoïde,typhoid,les maladies,
7265,la varicelle,chicken pox,les maladies,
7266,la variole,smallpox,les maladies,
7267,le cancer du sein,breast cancer,les maladies,
7268,le choléra,cholera,les maladies,
7269,le coma,the coma,les maladies,
7270,le saignement,bleeding,les maladies,
7271,le saignement de nez,nosebleed,les maladies,
7272,le tétanos,tetanus,les maladies,
7273,les brûlures d’estomac,heartburn,les maladies,
7274,les maladies cardiaques,heart disease,les maladies,
7275,les oreillons,the mumps,les maladies,
7276,les symptômes,symptoms,les maladies,
7277,paralysé,paralyzed,les maladies,
7278,paranoïaque,paranoid,les maladies,
7279,paraplégique,paraplegic,les maladies,
7280,un abcès,an abscess,les maladies,
7281,un arrêt cardiaque,a cardiac arrest,les maladies,
7282,un bleu,a bruise,les maladies,
7283,un bossu,a hunchback,les maladies,
7284,un coup de chaleur,heat stroke,les maladies,
7285,un handicap,a handicap,les maladies,
7286,un hématome,a hematoma,les maladies,
7287,un mal de tête,a headache,les maladies,
7288,un microbe,a microbe,les maladies,
7289,un nez bouché,a stuffy nose,les maladies,
7290,un torticolis,a stiff neck,les maladies,
7291,un ulcère,an ulcer,les maladies,
7292,une bronchite,bronchitis,les maladies,
7293,une carie,a cavity,les maladies,
7294,une cicatrice,a scar,les maladies,
7295,une dépression nerveuse,a nervous breakdown,les maladies,
7296,une douleur,a pain,les maladies,
7297,une écharde,a splinter,les maladies,
7298,une entorse,a sprain,les maladies,
7299,une éruption,a rash,les maladies,
7300,une fracture,a fracture,les maladies,
7301,une gastro-entérite,gastroenteritis,les maladies,
7302,une hémorragie,a hemorrhage,les maladies,
7303,une indigestion,indigestion,les maladies,
7304,une intoxication,intoxication,les maladies,
7305,une jambe cassée,a broken leg,les maladies,
7306,une leucémie,leukemia,les maladies,
7307,une maladie génétique,a genetic disease,les maladies,
7308,une maladie incurable,an incurable disease,les maladies,
7309,une maladie infectieuse,an infectious disease,les maladies,
7310,une maladie mentale,a mental illness,les maladies,
7311,une malformation,a deformity,les maladies,
7312,une otite,an ear infection,les maladies,
7313,une phobie,a phobia,les maladies,
7314,une pneumonie,pneumonia,les maladies,
7315,une rage de dents,a toothache,les maladies,
7316,une sinusite,a sinusitis,les maladies,
7317,une tumeur,a tumor,les maladies,
7318,avoir le nez qui coule,to have a runny nose,les maladies,
7319,éternuer,to sneeze,les maladies,
7320,être enroué,to hoarse,les maladies,
7321,être guéri,to be cured,les maladies,
7322,s’évanouir,to swoon,les maladies,
7323,se blesser,to hurt oneself,les maladies,
7324,se moucher,to blow one’s nose,les maladies,
7325,tomber malade,to get ill/ to fall ill,les maladies,
7326,trembler,to tremble,les maladies,
7327,100 mètres carrés,100 square metres,les maladies,
7328,baroque,baroque,architecture et construction,
7329,contigu,contiguous,architecture et construction,
7330,de l’aggloméré,chipboard,architecture et construction,
7331,de location,rental,architecture et construction,
7332,délabré,dilapidated,architecture et construction,
7333,des matériaux,materials,architecture et construction,
7334,des stores vénitiens,venetian blinds,architecture et construction,
7335,en bonne condition,in good condition,architecture et construction,
7336,espace de stockage,storage space,architecture et construction,
7337,gothique,gothic,architecture et construction,
7338,l’isolation,insulation,architecture et construction,
7339,la charpente,the framework,architecture et construction,
7340,la tour,the tower,architecture et construction,
7341,le chauffage par le sol,under floor heating,architecture et construction,
7342,le porche,the porch,architecture et construction,
7343,les plans,blueprints,architecture et construction,
7344,un arroseur,a sprinkler,architecture et construction,
7345,un artisan,a craftsman,architecture et construction,
7346,un cabinet,a cabinet,architecture et construction,
7347,un charpentier,a carpenter,architecture et construction,
7348,un chevron,a rafter,architecture et construction,
7349,un clocher,a steeple,architecture et construction,
7350,un contrat,a contract,architecture et construction,
7351,un devis,a quote/estimate,architecture et construction,
7352,un dôme,a dome,architecture et construction,
7353,un échafaud,a scaffold,architecture et construction,
7354,un expert en carrelage,a tiling expert,architecture et construction,
7355,un gâble,a gable,architecture et construction,
7356,un gratte ciel,a sky scraper,architecture et construction,
7357,un ouvrier du bâtiment,a construction worker,architecture et construction,
7358,un parquet,a wood floor,architecture et construction,
7359,un parquet stratifié,a laminate wood flooring,architecture et construction,
7360,un pilier,a pillar,architecture et construction,
7361,un pont suspendu,a suspension bridge,architecture et construction,
7362,un pont-levis,a drawbridge,architecture et construction,
7363,un réseau d’égouts,a sewage network,architecture et construction,
7364,un stade de football,a football stadium,architecture et construction,
7365,un tube / tuyau,a tube/ pipe,architecture et construction,
7366,une agence,an agency,architecture et construction,
7367,une citerne,a cistern,architecture et construction,
7368,une cloison,a partition,architecture et construction,
7369,une colonne,a column,architecture et construction,
7370,une construction,a construction,architecture et construction,
7371,une façade,a facade,architecture et construction,
7372,une fosse septique,a septic tank,architecture et construction,
7373,une maison en brique,a brick house,architecture et construction,
7374,une poutre apparente,an exposed beam,architecture et construction,
7375,une poutre en bois,a wooden beam,architecture et construction,
7376,une prise d’air,an air vent,architecture et construction,
7377,une prise de terre,an earthing socket,architecture et construction,
7378,une propriété,a property,architecture et construction,
7379,détériorer,to deteriorate,architecture et construction,
7380,de l’aspirine,aspirin,medicaments materiel medical,
7381,de la gaze,gauze,medicaments materiel medical,
7382,des antibiotiques,antibiotics,medicaments materiel medical,
7383,des béquilles,crutches,medicaments materiel medical,
7384,des gants jetables,disposable gloves,medicaments materiel medical,
7385,des gouttes,drops,medicaments materiel medical,
7386,du paracétamol,paracetamol,medicaments materiel medical,
7387,du sérum physiologique,saline solution,medicaments materiel medical,
7388,du sirop,syrup,medicaments materiel medical,
7389,la date d’expiration,the expiry date,medicaments materiel medical,
7390,les huiles essentielles,essential oils,medicaments materiel medical,
7391,un anti-douleur,a painkiller,medicaments materiel medical,
7392,un antidote,an antidote,medicaments materiel medical,
7393,un antiseptique,an antiseptic,medicaments materiel medical,
7394,un bandage,a bandage,medicaments materiel medical,
7395,un brancard,a stretcher,medicaments materiel medical,
7396,un cachet,a tablet,medicaments materiel medical,
7397,un cathéter,a catheter,medicaments materiel medical,
7398,un désinfectant,a disinfectant,medicaments materiel medical,
7399,un fauteuil roulant,a wheelchair,medicaments materiel medical,
7400,un garrot,a tourniquet,medicaments materiel medical,
7401,un implant/ une prothèse,an implant,medicaments materiel medical,
7402,un placebo,a placebo,medicaments materiel medical,
7403,un remède,a remedy,medicaments materiel medical,
7404,un scalpel/ un bistouri,a scalpel,medicaments materiel medical,
7405,un sédatif,a sedative,medicaments materiel medical,
7406,un somnifère,a sleeping pill,medicaments materiel medical,
7407,un sparadrap,a plaster/ a band-aid,medicaments materiel medical,
7408,un stéthoscope,a stethoscope,medicaments materiel medical,
7409,un tranquillisant,a tranquilizer,medicaments materiel medical,
7410,une armoire à pharmacie,a medicine cabinet,medicaments materiel medical,
7411,une attelle,a splint,medicaments materiel medical,
7412,une canne,a cane,medicaments materiel medical,
7413,une compresse,a compress,medicaments materiel medical,
7414,une couverture de survie,a survival blanket,medicaments materiel medical,
7415,une gélule,a capsule,medicaments materiel medical,
7416,une intraveineuse,an intravenous injection,medicaments materiel medical,
7417,une ordonnance,a prescription,medicaments materiel medical,
7418,une perfusion,a drip,medicaments materiel medical,
7419,une pilule,a pill,medicaments materiel medical,
7420,une piqûre,injection,medicaments materiel medical,
7421,une pommade,an ointment,medicaments materiel medical,
7422,une seringue,a syringe,medicaments materiel medical,
7423,une suture,a suture,medicaments materiel medical,
7424,aucun,none,mots essentiels a connaitre en,
7425,un briquet,a lighter,mots essentiels a connaitre en,
7426,compliqué,complicated,mots essentiels a connaitre en,
7427,courant/ commun,current/ common,mots essentiels a connaitre en,
7428,de la drogue,drugs,mots essentiels a connaitre en,
7429,désolé,sorry,mots essentiels a connaitre en,
7430,directement,directly,mots essentiels a connaitre en,
7431,drôle/ amusant,funny/ amusing,mots essentiels a connaitre en,
7432,essentiel,essential,mots essentiels a connaitre en,
7433,l’ennui,boredom,mots essentiels a connaitre en,
7434,l’espoir,hope,mots essentiels a connaitre en,
7435,l’honneur,honour,mots essentiels a connaitre en,
7436,l’opportunité,the opportunity,mots essentiels a connaitre en,
7437,la cérémonie,the ceremony,mots essentiels a connaitre en,
7438,la chance,the chance,mots essentiels a connaitre en,
7439,la poupée,the doll,mots essentiels a connaitre en,
7440,la signature,the signature,mots essentiels a connaitre en,
7441,la solution,the solution,mots essentiels a connaitre en,
7442,la volonté,the willingness,mots essentiels a connaitre en,
7443,le chef/ le patron,the chief/ the boss,mots essentiels a connaitre en,
7444,le jouet,the toy,mots essentiels a connaitre en,
7445,le meilleur,the best,mots essentiels a connaitre en,
7446,le perdant,the loser,mots essentiels a connaitre en,
7447,nu/ être nu,naked,mots essentiels a connaitre en,
7448,oui,yes,mots essentiels a connaitre en,
7449,réellement,actually,mots essentiels a connaitre en,
7450,seul,alone,mots essentiels a connaitre en,
7451,un autre/ l’autre,another,mots essentiels a connaitre en,
7452,un cauchemar,a nightmare,mots essentiels a connaitre en,
7453,un fantôme,a ghost,mots essentiels a connaitre en,
7454,un monstre,a monster,mots essentiels a connaitre en,
7455,un morceau de …,a piece of …,mots essentiels a connaitre en,
7456,le système,the system,mots essentiels a connaitre en,
7457,le trésor,the treasure,mots essentiels a connaitre en,
7458,la chose,the thing,mots essentiels a connaitre en,
7459,l’explication,the explanation,mots essentiels a connaitre en,
7460,l’idée,the idea,mots essentiels a connaitre en,
7461,l’image,the image,mots essentiels a connaitre en,
7462,l’insulte,the insult,mots essentiels a connaitre en,
7463,la méthode,the method,mots essentiels a connaitre en,
7464,la santé,health,mots essentiels a connaitre en,
7465,addictif,addictive,sante et medecine,
7466,curable/incurable,curable/incurable,sante et medecine,
7467,déboîté,out-of joint,sante et medecine,
7468,en congé maladie,on sick leave,sante et medecine,
7469,enflammé,inflamed,sante et medecine,
7470,enflé/ gonflé,swollen,sante et medecine,
7471,essoufflé,breathless,sante et medecine,
7472,fou/ dément,mad,sante et medecine,
7473,hôpital privé,private hospital,sante et medecine,
7474,infirme,crippled,sante et medecine,
7475,intramusculaire,intramuscular,sante et medecine,
7476,intraveineux,intravenous,sante et medecine,
7477,l’accouchement,childbirth,sante et medecine,
7478,l’endocrinologie,endocrinology,sante et medecine,
7479,l’hygiène,hygiene,sante et medecine,
7480,l’inconscient,the unconscious,sante et medecine,
7481,l’insomnie,insomnia,sante et medecine,
7482,l’oncologie,oncology,sante et medecine,
7483,l’orthopédie,orthopeady,sante et medecine,
7484,l’urologie,urology,sante et medecine,
7485,la cardiologie,cardiology,sante et medecine,
7486,la chambre privée,private room,sante et medecine,
7487,la chimiothérapie,chemotherapy,sante et medecine,
7488,la chirurgie,surgery,sante et medecine,
7489,la chirurgie esthétique,plastic surgery,sante et medecine,
7490,la défécation,bowel movement,sante et medecine,
7491,la dermatologie,dermatology,sante et medecine,
7492,la folie,lunacy/ madness,sante et medecine,
7493,la grossesse,pregnancy,sante et medecine,
7494,la guérison,healing,sante et medecine,
7495,la gynécologie,gynaecology,sante et medecine,
7496,la kinésithérapie,physiotherapy,sante et medecine,
7497,la maternité,maternity ward,sante et medecine,
7498,la neurologie,neurology,sante et medecine,
7499,la ophtalmologie,opthmalmolgy,sante et medecine,
7500,la pathologie,pathology,sante et medecine,
7501,la psychiatrie,psychiatry,sante et medecine,
7502,la radiologie,radiology,sante et medecine,
7503,la salle d’opération,the operating theatre,sante et medecine,
7504,la tension nerveuse,nervous stress,sante et medecine,
7505,la thérapie de groupe,group therapy,sante et medecine,
7506,le bloc opératoire,the surgical wing,sante et medecine,
7507,le cabinet du médecin,doctor’s consulting room,sante et medecine,
7508,le choc opératoire,the surgical shock,sante et medecine,
7509,le divan,the couch,sante et medecine,
7510,le psychisme,psyche,sante et medecine,
7511,le subconscient,the subconscious,sante et medecine,
7512,le surmenage,overwork,sante et medecine,
7513,le système hormonal,hormonal system,sante et medecine,
7514,le système respiratoire,respiratory system,sante et medecine,
7515,les palpitations,palpitations,sante et medecine,
7516,les premiers soins,first aid,sante et medecine,
7517,souffrant,unwell,sante et medecine,
7518,un asile de fous,a lunatic asylum,sante et medecine,
7519,un bilan de santé,a check-up,sante et medecine,
7520,un donneur,a donor,sante et medecine,
7521,un effet secondaire,a side effect,sante et medecine,
7522,un fou,a lunatic/ a maniac,sante et medecine,
7523,un fourmillement,a tingling,sante et medecine,
7524,un groupe sanguin,a blood group,sante et medecine,
7525,un hôpital psychiatrique,a mental hospital,sante et medecine,
7526,une affection,an ailment,sante et medecine,
7527,une analyse de sang,a blood test,sante et medecine,
7528,une clinique,a clinic,sante et medecine,
7529,une consultation,a consultation,sante et medecine,
7530,une infirmité,an infirmity,sante et medecine,
7531,une névrose,a neuvrosis,sante et medecine,
7532,une obsession,an obsession,sante et medecine,
7533,une psychose,a psychosis,sante et medecine,
7534,une radio(graphie),an x-ray,sante et medecine,
7535,une rechute,a relapse,sante et medecine,
7536,une salle d’hôpital,a ward,sante et medecine,
7537,une thérapie,a therapy,sante et medecine,
7538,une transfusion sanguine,a blood transfusion,sante et medecine,
7539,un chirurgien esthétique,a plastic surgeon,sante et medecine,
7540,le personnel soignant,the nursing staff,sante et medecine,
7541,un acupuncteur,an acupuncturist,sante et medecine,
7542,un anesthésiste,an anaesthetist,sante et medecine,
7543,un brancardier,a stretcher bearer,sante et medecine,
7544,un cancérologue,a cancer specialist,sante et medecine,
7545,un chiropracteur,a chiropractor,sante et medecine,
7546,un dermatologue,a dermatologist,sante et medecine,
7547,un généraliste,a general practitioner,sante et medecine,
7548,un homéopathe,an homeopath,sante et medecine,
7549,un neurologue,a neurologist,sante et medecine,
7550,un radiologue,a radiologist,sante et medecine,
7551,du cambouis,sludge,voiture et mecanique,
7552,du diesel,diesel,voiture et mecanique,
7553,l’admission,an inlet,voiture et mecanique,
7554,l’arbre,a shaft,voiture et mecanique,
7555,l’arbre à cames,a camshaft,voiture et mecanique,
7556,l’arbre de transmission,a drive shaft,voiture et mecanique,
7557,la rouille,rust,voiture et mecanique,
7558,le dégivrage,a defroster,voiture et mecanique,
7559,le radiateur d’huile,an oil cooler,voiture et mecanique,
7560,le tambour de frein,a drum/ a drum brake,voiture et mecanique,
7561,les feux de brouillard,fog lights,voiture et mecanique,
7562,les pédales,pedals,voiture et mecanique,
7563,les plaquette de frein,a brake pad,voiture et mecanique,
7564,les sièges arrière,back seats,voiture et mecanique,
7565,les sièges avant,front seats,voiture et mecanique,
7566,oxydé,corroded,voiture et mecanique,
7567,un allumeur,an igniting device,voiture et mecanique,
7568,un alternateur,an alternator,voiture et mecanique,
7569,un boîtier de direction,a steering rack,voiture et mecanique,
7570,un cliquetis,a rattling,voiture et mecanique,
7571,un compartiment moteur,an engine bay,voiture et mecanique,
7572,un compteur de vitesse,a speedometer,voiture et mecanique,
7573,un cylindre,a barrel/ a cylinder,voiture et mecanique,
7574,un démarreur,a starter,voiture et mecanique,
7575,un embrayage,a clutch,voiture et mecanique,
7576,un enjoliveur,a hubcap,voiture et mecanique,
7577,un essieu,an axle,voiture et mecanique,
7578,un filtre à air,an air cleaner,voiture et mecanique,
7579,un fusible,a fuse,voiture et mecanique,
7580,un gicleur/ un injecteur,a nozzle,voiture et mecanique,
7581,un jeu de soupapes,a valve clearance,voiture et mecanique,
7582,un joint de cardan,a cv-joint,voiture et mecanique,
7583,un moyeu,a hub,voiture et mecanique,
7584,un rétroviseur extérieur,an outside miror,voiture et mecanique,
7585,un toit ouvrant,a sunroof,voiture et mecanique,
7586,un vilebrequin,a crankshaft,voiture et mecanique,
7587,une bague d’étanchéité,a sealing ring,voiture et mecanique,
7588,une boîte à gants,a glove compartment,voiture et mecanique,
7589,une boite de vitesses,a gearbox,voiture et mecanique,
7590,une cale,a wedge,voiture et mecanique,
7591,une charnière/ un gond,a hinge,voiture et mecanique,
7592,une clé à bougie,a spark plug spanner,voiture et mecanique,
7593,une couche de peinture,a coat of paint,voiture et mecanique,
7594,une courroie,a belt/ a pulley,voiture et mecanique,
7595,une culasse,a cylinder head,voiture et mecanique,
7596,une jauge d’essence,a fuel gauge,voiture et mecanique,
7597,une limousine,a limo,voiture et mecanique,
7598,une pédale de frein,a brake pedal,voiture et mecanique,
7599,une pompe à essence,a fuel pump,voiture et mecanique,
7600,une serrure de porte,a latch,voiture et mecanique,
7601,une soudure,a weld,voiture et mecanique,
7602,une soupape,a valve,voiture et mecanique,
7603,une sous-couche,an undercoating,voiture et mecanique,
7604,diriger,to steer,voiture et mecanique,
7605,fausser,to warp,voiture et mecanique,
7606,gonfler un moteur,to hot up an engine,voiture et mecanique,
7607,gonfler un pneu,to inflate a tyre,voiture et mecanique,
7608,s’engorger,to choke,voiture et mecanique,
7609,boire un café/soda,to have a coffee/soda,routine,
7610,border,to tuck in,routine,
7611,dormir trop longtemps,to oversleep,routine,
7612,être à moitié endormi,to be half-asleep,routine,
7613,faire la grasse matinée,to have a lie-in,routine,
7614,faire sa toilette,to groom oneself,routine,
7615,faire une sieste,to have a nap,routine,
7616,lire le journal,to read the paper,routine,
7617,marcher/aller à pied,to walk (going on foot),routine,
7618,nourrir le chat / chien,to feed the cat/dog,routine,
7619,ouvrir les stores,to open the blinds,routine,
7620,prendre le bus/le métro,to take the bus/subway,routine,
7621,préparer le dîner,to prepare dinner,routine,
7622,répondre aux messages,to answer messages,routine,
7623,se sécher,to dry oneself,routine,
7624,tous les matins,every morning,routine,
7625,je me lave les dents,i brush my teeth,routine,
7626,je me couche tôt/tard,i go to bed early/late,routine,
7627,je lis un livre,i read a book,routine,
7628,j’attends le bus,i wait for the bus,routine,
7629,un adaptateur,an adapter,photographie,
7630,un câble micro usb,a micro usb cable,photographie,
7631,un capteur,a sensor,photographie,
7632,un chargeur,a charger,photographie,
7633,un écran tactile,a touch screen,photographie,
7634,un gros plan,a close-up shot,photographie,
7635,un objectif grand angle,a wide-angle lens,photographie,
7636,un objectif tout-en-un,an all-in-one lens,photographie,
7637,un objectif zoom,a zoom lens,photographie,
7638,un obturateur mécanique,a mechanical shutter,photographie,
7639,un photojournaliste,a photojournalist,photographie,
7640,un portrait,a portrait,photographie,
7641,un reflex,a dslr,photographie,
7642,un sac photo,a camera bag,photographie,
7643,un trépied,a tripod,photographie,
7644,un viseur,a viewfinder,photographie,
7645,un zoom téléobjectif,a telephoto zoom lens,photographie,
7646,une bandoulière,a shoulder strap,photographie,
7647,une caméra hybride,a hybrid camera,photographie,
7648,une carte mémoire,a memory card,photographie,
7649,une photo,a photo,photographie,
7650,basse lumière,low light,photographie,
7651,haute résolution,high resolution,photographie,
7652,l’ autonomie,the autonomy,photographie,
7653,l’ergonomie,ergonomics,photographie,
7654,l’interface,the interface,photographie,
7655,l’ouverture,the aperture,photographie,
7656,la balance des blancs,the white balance,photographie,
7657,la connexion usb,the usb connection,photographie,
7658,la définition,the definition,photographie,
7659,la distance focale,the focal length,photographie,
7660,la macrophotographie,macrophotography,photographie,
7661,la monture,the mount,photographie,
7662,la plage dynamique,the dynamic range,photographie,
7663,la règle des tiers,the rule of thirds,photographie,
7664,la vitesse d’obturation,the shutter speed,photographie,
7665,le contraste,the contrast,photographie,
7666,le niveau de détail,the level of detail,photographie,
7667,le photojournalisme,photojournalism,photographie,
7668,le processeur,the processor,photographie,
7669,le rendu des couleurs,colour rendering,photographie,
7670,le stabilisation d’image,image stabilization,photographie,
7671,les mégapixels,megapixels,photographie,
7672,les yeux rouges,the red eyes,photographie,
7673,mode rafale,burst mode,photographie,
7674,net/ détaillé,sharp/ detailed,photographie,
7675,photogénique,photogenic,photographie,
7676,plein format,full-frame,photographie,
7677,rechargeable,rechargeable,photographie,
7678,sans miroir,mirrorless,photographie,
7679,agrandir,to enlarge,photographie,
7680,faire la mise au point,to focus,photographie,
7681,sous-exposer,to underexpose,photographie,
7682,surexposer,to overexpose,photographie,
7683,actif immobilisé,capital / fixed asset,comptabilite,
7684,actions ordinaires,common stock,comptabilite,
7685,activités d’exploitation,operating activities,comptabilite,
7686,bail,lease,comptabilite,
7687,bénéfice,gain/ profit,comptabilite,
7688,bénéfice net,net profit,comptabilite,
7689,brevets,patents,comptabilite,
7690,capitaux propres,stockholder’s equity,comptabilite,
7691,charges à payer,accrued liabilities,comptabilite,
7692,charge indirecte,indirect charges,comptabilite,
7693,charges payées d’avance,prepaid expenses,comptabilite,
7694,crédits à court terme,short-term loans payable,comptabilite,
7695,chiffre d’affaires net,net sales,comptabilite,
7696,coût,cost/ charge,comptabilite,
7697,coût fixe,fixed expenses,comptabilite,
7698,coût des ventes,cost of sales,comptabilite,
7699,dépot,deposit,comptabilite,
7700,effets à payer,bills payable,comptabilite,
7701,effets à recevoir,bills receivable,comptabilite,
7702,emprunts à long terme,long-term loan,comptabilite,
7703,exercice comptable,financial year,comptabilite,
7704,flux de trésorerie,cash flow,comptabilite,
7705,fonds de roulement,working capital,comptabilite,
7706,frais de ventes,selling expenses,comptabilite,
7707,franchise,franchise,comptabilite,
7708,livre de compte/ journal,account book,comptabilite,
7709,moins-value,capital loss,comptabilite,
7710,placement à court terme,short-term investment,comptabilite,
7711,plus-value,profit/ capital gains,comptabilite,
7712,prime d’émission,share premium,comptabilite,
7713,produits perçus d’avance,unearned revenues,comptabilite,
7714,produits finis,finished goods,comptabilite,
7715,produit des placements,investment income,comptabilite,
7716,profits,gains,comptabilite,
